LiquidatorVendorCode	InventoryLocation	FC	IOG	RemovalReason	ShipmentClosed	BOL	Carrier	ShipToCity	RemovalOrderID	ReturnID	ReturnItemID	ShipmentRequestID	PkgID	GL	GLDesc	CategoryCode	CategoryDesc	SubcatCode	SubcatDesc	Asin	UPC	EAN	FCSku	ItemDesc	Units	ItemPkgWeight	ItemPkgWeightUOM	CostSource	CurrencyCode	UnitCost	AmazonPrice	UnitRecovery	TotalCost	TotalRecovery	RecoveryRate	RecoveryRateType	AdjTotalRecovery	AdjRecoveryRate	AdjReason	FNSku	LPN	TaxAmount	InvoiceNumber
PX713	DE	KTW1	2328516	Customer Damage	2022/10/18	00340434691001265514	DEPOST_PAKETSMALL_L	Mannheim	3778080461	5332197785552	817295306556	LIQN5036403272532	spL1JJi1n89	107	gl_wireless					B0BC7KBRDJ			X001MKACBR	JETech Schutzfolie für Samsung Galaxy Watch 5/4 44 mm, Panzer Schutz Glas Displayschutz 2,5D Runde Kante, HD Klar, 3 Stück	1	41	GR	FBA_IVS_PRODUCT_SCHEDULE_COST_SRC	EUR	10		0.5	10	0.5	5	PERCENTAGE_OF_COST				X001MKACBR		0	INV-PL-1244810095-2022-13763
PX713	DE	KTW1	4272644	Customer Damage	2022/10/18	00340434691001256000	DEPOST_PAKETSMALL_L	Mannheim	3778050971	5332219603552	5578985503556	LIQN206436640532	spL1I8295pN	201	gl_home					B09JNT7679			X001GHDRA9	Gtwinsone 15 Farben Stempelkissen Fingerabdrücke Set 7,5 x 5,5 cm Fingerstempelfarbe Ungiftig Abwaschbar Stamp Pad Kinder Stempel für Papier Handwerk Stoff Scrapbooking Silikonstempel (Bunt)	1	249.9998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	11.76		0.59	11.76	0.59	5	PERCENTAGE_OF_COST				X001GHDRA9		0	INV-PL-1624685005-2022-61
PX713	DE	KTW1	2313050	Customer Damage	2022/10/18	00340434691001258561	DEPOST_PAKETSMALL_L	Mannheim	3778095181	5332195146552	5578994360556	LIQN206439197532	spL1JJi1o7I	309	gl_shoes					B0869FY66Z			X001618WWN	GIMDUMASA Blaulichtfilter Brille Computerbrille PC Gaming Bluelight Filter Uv Blue Light Blocking Glasses Anti Damen Herren Ohne Stärke Entspiegelt	1	50	GR	FBA_IVS_MERCHANT_LIST_COST_SRC	EUR	8.39		0.5	8.39	0.5	6	PERCENTAGE_OF_COST				X001618WWN		0	INV-PL-1181177405-2022-196
PX713	DE	KTW1	2110049	Defective	2022/10/18	00340434691001265620	DEPOST_PAKETSMALL_L	Mannheim	3778464981	5332277198552	5579127446556	LIQN5036401189532	spL1i6L0869	364	gl_personal_care_appliances					B07P5D9TDV	720355078751	0720355078751	X0010ED375	Ithyes Shampoo-Bürste aus Silikon, Kopfhaut-Massagegerät, Haarbürste, Nass- und Trockenkamm, Gummipflege, verbessert die Durchblutung, für Männer, Frauen, Haustiere, 2 Stück, grün und rosa	1	179.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	8.16		0.41	8.16	0.41	5	PERCENTAGE_OF_COST				X0010ED375		0	INV-PL-891649325-2022-333
PX713	DE	KTW1	1554992	Defective	2022/10/18	00340434691001262728	DEPOST_PAKETSMALL_L	Mannheim	3778010051	5332181700552	5578967230556	LIQN5036386759532	spFCG2Bqvs3	201	gl_home					B08YXYVZ7C		7141269926007	X001C2WR2H	Jungle Culture® Natürliche Spülbürsten für den Abwasch • Küchenbürsten-Reinigungsset, Pflanzenbasierte Kokosnuss Flaschenbürste • Topfbürste & umweltfreundlicher Scheuerschwamm für Pfannen & Geschirr	1	389.9997	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	13.04		0.65	13.04	0.65	5	PERCENTAGE_OF_COST				X001C2WR2H		0	INV-PL-599420555-2022-81
PX713	DE	KTW1	1489750	Customer Damage	2022/10/18	00340434691001260281	DEPOST_PAKETSMALL_L	Mannheim	3777987381	5332190477552	5578970425556	LIQN5036396662532	spL1j61Nn8P	201	gl_home					B08YRSY1PG	768076261892	0768076261892	X001JLVVQJ	Toilettenpapierhalter Ohne Bohren, Selbstklebend Klorollenhalter Klopapierhalter, Küchenrollenhalter ohne Bohren, WC Papier Halterung - Schwarz, Wandmontage Küchenpapierhalter für Badzimmer/Küche	1	189.9998	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	10.08		0.5	10.08	0.5	5	PERCENTAGE_OF_COST				X001JLVVQJ		0	INV-PL-798019075-2022-30
PX713	DE	KTW1	1446260	Defective	2022/10/18	00340434691001263176	DEPOST_PAKETSMALL_L	Mannheim	3778069571	5332197688552	817295059556	LIQN5036390636532	spL17OKm986	229	gl_office_product					B07LGY9JBZ			X000YCP8ZJ	MyCartridge 302XL Wiederaufbereitet Druckerpatronen kompatibel HP 302 XL Multipack für HP Officejet 5230 3830 3831 3833 3834 Envy 4520 4525 4527 Deskjet 1110 3630 3633 3636 3637 (Schwarz/Farbe)	1	139.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	29.73		2.38	29.73	2.38	8	PERCENTAGE_OF_COST				X000YCP8ZJ		0	INV-PL-753916975-2022-2520
PX713	DE	KTW1	2707700	Customer Damage	2022/10/18	00340434691001260199	DEPOST_PAKETSMALL_L	Mannheim	3778206761	5332241790552	5579017198556	LIQN5036405894532	spL1i6L0740	201	gl_home					B08Y6JXPB3			X001DHMB1X	CDIYTOOL T25 Rasentrimmerkopf für H usÁ a T124L 125L 128L 128LD 128R 128RJ 223L 122L 125C 125L 125LDX	1	809.9993	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	24.36		1.46	24.36	1.46	6	PERCENTAGE_OF_COST				X001DHMB1X		0	INV-PL-1162762595-2022-194
PX713	DE	KTW1	2487253	Customer Damage	2022/10/18	00340434691001258547	DEPOST_PAKETSMALL_L	Mannheim	3777969081	5332190307552	5578967437556	LIQN5036380591532	spL1jimJpiO	201	gl_home					B08QZ7KV38	729920407125	0729920407125	X001AG4R7N	4Pcs Kristall Anhänger Deko Regenbogen Sonnenfänger Kristal Anhänger Ornament kristalkugel hängen deko für Zuhause, Büro, Garten Dekoration	1	179.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	10.82		0.54	10.82	0.54	5	PERCENTAGE_OF_COST				X001AG4R7N		0	INV-PL-999026845-2022-1083
PX713	DE	KTW1	1013362	Customer Damage	2022/10/18	00340434691001263992	DEPOST_PAKETSMALL_L	Mannheim	3778586601	5332300604552	5579177733556	LIQN206447871532	spFCG2BVtXF	200	gl_sports			20057215	57215 Outdoors Mats & Mattresses	B08JYRF3HB	850012456315	0850012456315	B08JYRF3HB	TREKOLOGY 30L Pumpsack Rolltop-Kompressionspumpsack für UL80v2 Schlafmatten, Pumpsack für Campingmatten, Schlafmatte, Schlafmatratze, aufblasbare Schlafmatten	1	119.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	12.44		0.75	12.44	0.75	6	PERCENTAGE_OF_COST				B08JYRF3HB		0	INV-PL-171586651-2022-570
PX713	DE	KTW1	1442440	Customer Damage	2022/10/18	00340434691001263879	DEPOST_PAKETSMALL_L	Mannheim	3778491291	5332282832552	5579151198556	LIQN5036415968532	spL1i6L62L4	309	gl_shoes	30903500	3500 Sport Shoes-Women	30903521	3521 Fitness	B07S9RW1ZR		4062451457518	X001H3SS0B	PUMA Damen Zone Xt Metal WN's Sneaker, Weiß White Metallic Gold, 38.5 EU	1	839.9993	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	80.66		8.07	80.66	8.07	10	PERCENTAGE_OF_COST				X001H3SS0B		0	INV-PL-432088235-2022-75
PX713	DE	KTW1	666919	Defective	2022/10/18	00340434691001260168	DEPOST_PAKETSMALL_L	Mannheim	3778194191	5332245447552	5579038920556	LIQN5036414990532	spL1jJ40O3P	328	gl_biss					B07PFCV894		5060606700341	ZZWEDE1SSE	Pool und Whirlpool Teststreifen - 7-in-1 Wassertester für Pools, Pooltester Chlor und pH, 100 Pool Teststreifen mit E-Book und App, JNW Direct	1	79.9999	GR	FBA_IVS_MERCHANT_LIST_COST_SRC	EUR	9.66		0.48	9.66	0.48	5	PERCENTAGE_OF_COST				X001HYNHH9	LPNHL953541734	0	INV-PL-164901621-2022-181
PX713	DE	KTW1	576909	Defective	2022/10/18	00340434691001259391	DEPOST_PAKETSMALL_L	Mannheim	3778505291	5332287474552	5579152711556	LIQN5036413653532	spL1i6L072p	229	gl_office_product					B07W6X74WG		5060686320248	B07W6X74WG	THE TWIDDLERS 24 Mini Basketball Finger Flipper Spielzeug für Jungen, Kinder, 6cm - Kindergeburtstag Mitgebsel, Mitbringsel, Gastgeschenke	1	199.9998	GR	FBA_IVS_MERCHANT_LIST_COST_SRC	EUR	11.89		0.71	11.89	0.71	6	PERCENTAGE_OF_COST				B07W6X74WG		0	INV-PL-158879681-2022-2093
PX713	DE	KTW1	3602023	Defective	2022/10/18	00340434691001258257	DEPOST_PAKETSMALL_L	Mannheim	3778484281	5332308441552	5579125559556	LIQN5036401312532	spL1JJ9n30k	200	gl_sports			20053040	53040 Cycling Accessories	B08RNGYW78	791783520600	0791783520600	X001AN1823	10m Fahrrad Tubeless Felgenband, Fahrradreifen Band, Selbstklebendes Fahrrad-Rad-Klebeband, Fahrrad-Innenreifen Pannensicher Pannenschutzband Puncture Protection Band für MTB Mountain Road Bike, 21mm	1	30	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	7.55		0.45	7.55	0.45	6	PERCENTAGE_OF_COST				X001AN1823		0	INV-PL-1446423835-2022-110
PX713	DE	KTW1	1267256	Customer Damage	2022/10/18	00340434691001263787	DEPOST_PAKETSMALL_L	Mannheim	3778483341	5332275439552	5579151844556	LIQN5036419591532	spL1jimmL62	364	gl_personal_care_appliances	36401300	1300 Hair Care Appliances	36401320	"1320 Curling Irons, Rollers & Curlers"	B07GDMJ2MW			X000W0OJET	Vista Haarbürste Antistatisch Ionen Rundbürste Natürlichen Stlying Haarbürste Wildschweinborsten Bürste Haare - 1 Pack	1	99.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	8.57		0.43	8.57	0.43	5	PERCENTAGE_OF_COST				X000W0OJET		0	INV-PL-486704235-2022-148
PX713	DE	KTW1	3412491	Defective	2022/10/18	00340434691001264050	DEPOST_PAKETSMALL_L	Mannheim	3778344221	5332214931552	5579111698556	LIQN5036417426532	spFFB2Bj9qV	309	gl_shoes					B09SHKLSPV			X001IPBTRR	Clogs Kinder Pantoletten für Jungen Mädchen Gartenschuhe Sommer Sandalen Strand Hausschuhe Badeschuhe rutschfest Atmungsaktiv,Schwarz,EU 30	1	99.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	8.39		0.5	8.39	0.5	6	PERCENTAGE_OF_COST				X001IPBTRR		0	INV-PL-1365257465-2022-59
PX713	DE	KTW1	3638079	Customer Damage	2022/10/18	00340434691001263039	DEPOST_PAKETSMALL_L	Mannheim	3778351321	5332286044552	5579072359556	LIQN5036417469532	spL1jimJP5J	147	gl_pc					B09HKMP3VW			X001G5U1LJ	Druckkopfreiniger Düsenreiniger Fentec 100ml Druckkopf Reinigungsflüssigkeit für Druckkopfreiniger Epson HP Canon Lexmark Brother Samsung und Kodak Tintenstrahldrucker	1	149.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	9.4		0.47	9.4	0.47	5	PERCENTAGE_OF_COST				X001G5U1LJ		0	INV-PL-1495289935-2022-276
PX713	DE	KTW1	2556187	Defective	2022/10/18	00340434691001264609	DEPOST_PAKETSMALL_L	Mannheim	3778263201	5332238783552	817307871556	LIQN206441925532	spL1jimJP5N	107	gl_wireless	10701200	1200 Car Electronics	10701299	1299 Car Electronics Other	B08N9LCBQR			X0019S5F37	LISEN Handyhalterung Auto Magnet [8 Starke Magnete] 360° Drehbar Auto Handy Lüftung, [Nicht Blockieren Vent] Magnethalter Handy [Upgraded Haken Clamp] Auto Handyhalter Huawei Samsung Xiaomi usw	1	109.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	12.6		0.63	12.6	0.63	5	PERCENTAGE_OF_COST				X0019S5F37		0	INV-PL-975140765-2022-718
PX713	DE	KTW1	3323008	Defective	2022/10/18	00340434691001260441	DEPOST_PAKETSMALL_L	Mannheim	3778027751	5332202293552	5578950936556	LIQN5036396922532	spL1I14477n	201	gl_home					B09D3SBZTF			X001I5JNCP	Sahara Sailor LED Campinglampe, Zusammenklappbare Tragbare LED Laternen, Batteriebetriebenes Notlicht, Leicht, Wasserdicht, Für Camping, Wandern, Garten, Ausfälle	1	499.9996	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	14.82		0.74	14.82	0.74	5	PERCENTAGE_OF_COST				X001I5JNCP		0	INV-PL-1397604395-2022-521
PX713	DE	KTW1	1696705	Defective	2022/10/18	00340434691001262247	DEPOST_PAKETSMALL_L	Mannheim	3778563231	5332320085552	5579184457556	LIQN5036420051532	spL1II259Nm	200	gl_sports					B07XG39BN4	715624737415	0715624737415	X0012UDCQJ	BELICOO Glasflasche Wasserflasche Classic 550 ml BPA Sportflasche Glaswasserflasche Borosilikat auslaufsicher tragbare Reise Sport (Schwarz)	1	419.9997	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	8.55		0.51	8.55	0.51	6	PERCENTAGE_OF_COST				X0012UDCQJ		0	INV-PL-903351345-2022-94
PX713	DE	STR1	3790122	Defective	2022/10/18	JJD000390017990020441	DP_PAKET	Mannheim	3787473971	5335079902552	5583588137556	LIQN5036919737532	spL1jkinj85	267	gl_musical_instruments			26704100	4100 Sound Reinforcement	B097D3Y5XD	727152872773	0727152872773	X001HPFO8X	Moving Head LED Bühnenlichter DMX-512 50W DJ Disco Party Lichter Sound aktiviert Scheinwerfer RGBW Gobos für Hochzeit Geburtstag Weihnachten (Deutsches lokales Lager)	1	2986.9976	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	98.31		12.78	98.31	12.78	13	PERCENTAGE_OF_COST				X001HPFO8X		2.43	INV-DE-1546484315-2022-442
PX713	DE	STR1	3790122	Customer Damage	2022/10/18	JJD000390017990020441	DP_PAKET	Mannheim	3787473971	5335079902552	5583588138556	LIQN5036919737532	spL1jkinj85	267	gl_musical_instruments	26704000	4000 Sound and Recording	26704100	4100 Sound Reinforcement	B08R9K4NPM		5600911001858	X001EUGWUZ	Nebelmaschine, MORFIT 1200W LED Rauchmaschine 5600 CFM Fog Machine 6-stufige LED-Leuchten mit Drahtlose Fernbedienung für Feiertage Partys Hochzeiten Weihnachten Halloween	1	3999.9967	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	73.94		9.61	73.94	9.61	13	PERCENTAGE_OF_COST				X001EUGWUZ		1.83	INV-DE-1546484315-2022-442
PX713	DE	STR1	3790122	Customer Damage	2022/10/18	JJD000390017990020441	DP_PAKET	Mannheim	3787473971	5335079902552	5583588139556	LIQN5036919737532	spL1jkinj85	267	gl_musical_instruments	26704000	4000 Sound and Recording	26704100	4100 Sound Reinforcement	B08N67ZDMR	798789950837	0798789950837	X001EKL28R	Nebelmaschine, MORFIT 500W Rauchmaschine mit 2000CFM Fog 3 Stage LED Farblichtern, Kabelgebundene und Drahtlose Ferngesteuerte Nebelmaschine für Halloween-Hochzeitsfeier und Bühneneffekt	1	1869.9985	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	41.31		4.13	41.31	4.13	10	PERCENTAGE_OF_COST				X001EKL28R		0.78	INV-DE-1546484315-2022-442
PX713	DE	KTW1	1104061	Defective	2022/10/18	JJD000390016830004327	DP_PAKET	Mannheim	3779835671	5332907178552	5580167383556	LIQN5036578346532	spL1JJi1l5M	364	gl_personal_care_appliances					B07J1VYKJH		3770008563681	X000WR2ZON	CZ Store Körperfettzange -✮LEBENSLANGE GARANTIE✮- Genaue Messwerte - Fettmesszange, Anleitung, Interpretationstabelle, Trainingsanleitung, Maßband - Gerät zur Körperfettanalyse/Gewichtskontrolle	1	99.9999	GR	FBA_IVS_SALES_HISTORY_COST_SRC	EUR	6.66		0.33	6.66	0.33	5	PERCENTAGE_OF_COST				X000WR2ZON		0	INV-PL-176255371-2022-951
PX713	DE	LEJ1	3156611	Customer Damage	2022/10/18	JJD000390017920004763	DP_HAZMAT_DOM	Mannheim	3781270921	5333319704552	5581069257556	LIQN5036595194532	spN00P6Mp74	267	gl_musical_instruments	2305300	5300 Headphones	2305310	5310 Headphones	B08FRKQLHY	619191372782	0619191372782	X001ALXJIL	SuperEQ Hybrid Active Noise Cancelling Kopfhörer kabellos, Bluetooth 5.0 Kopfhörer Over-Ear, Headset mit ANC Geräuschunterdrückung, 45h Akku, Bass, Mikrofon, Sprachanruf, Verbindung von 2 Geräten	1	429.9996	GR	FBA_IVS_MERCHANT_LIST_COST_SRC	EUR	42.01	66.69	4.2	42.01	4.2	10	PERCENTAGE_OF_COST				X001ALXJIL		0.8	INV-DE-1365493975-2022-35
PX713	DE	LEJ1	3156611	Customer Damage	2022/10/18	JJD000390017920004763	DP_HAZMAT_DOM	Mannheim	3781270921	5333319704552	819187010556	LIQN5036595194532	spN00P6Mp74	267	gl_musical_instruments	2305300	5300 Headphones	2305310	5310 Headphones	B08FRKQLHY	619191372782	0619191372782	X001ALXJIL	SuperEQ Hybrid Active Noise Cancelling Kopfhörer kabellos, Bluetooth 5.0 Kopfhörer Over-Ear, Headset mit ANC Geräuschunterdrückung, 45h Akku, Bass, Mikrofon, Sprachanruf, Verbindung von 2 Geräten	1	429.9996	GR	FBA_IVS_MERCHANT_LIST_COST_SRC	EUR	42.01	66.69	4.2	42.01	4.2	10	PERCENTAGE_OF_COST				X001ALXJIL		0.8	INV-DE-1365493975-2022-35
